OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,logD
ABJWJGMTLYSISP-UHFFFAOYSA-N,O=C(C1=CC=C(CN2CCOCC2)C=C1)N1CCN(C2CCC2)CC1,1.77
ABKCBHGHCYFDNT-UHFFFAOYSA-N,N#CC1=CC=C(OC2=CC=C(S(=O)(=O)NC3=CC=C(F)C=N3)C=C2C#N)C=C1Cl,1.8
ABKGTFFKSJEJIQ-FQEVSTJZSA-N,CN(C)CCCOC1=CC=C(C2=CC=C3N=CC4=C(C3=C2)N([C@H]2CCCOC2)C(=O)N4C)C=N1,1.8
ABKGTFFKSJEJIQ-HXUWFJFHSA-N,CN(C)CCCOC1=CC=C(C2=CC=C3N=CC4=C(C3=C2)N([C@@H]2CCCOC2)C(=O)N4C)C=N1,1.8
ABKUNMXQTDTBPW-UHFFFAOYSA-N,NS(=O)(=O)C1=NN=C(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC2=NN=C(S(N)(=O)=O)S2)CC(=O)O)CC(=O)O)S1,1.961
ABLSECMUBQGKAB-JBACZVJFSA-N,O=C(N[C@H]1CN(S(=O)(=O)C2=CC=CC=C2)C[C@@H]1C(=O)N[C@H]1CCCNC1)C1=NN=C(C2=CC=C(F)C=C2)S1,1.0
ABLWHXGNSHTMMJ-UHFFFAOYSA-O,CC(OC[N+]1=C(/C=N/O)N(C)C=C1)C1CCCCC1,0.22
ABLXXKUDDSMAHU-UHFFFAOYSA-N,OCCNCCN1C=CC2=NC=NC(NC3=CC=C(OC4=CC=CC(C(F)(F)F)=C4)C(Cl)=C3)=C21,3.5
ABNCFPYCMDGBQM-SFTDATJTSA-N,O=C1C2=CC(CC3=CC=C(Cl)N=C3)=C3C=CC=CC3=C2N=CN1[C@H]1CCCC[C@@H]1O,3.1
ABNNSLREZPBYPJ-TYVLQRECSA-N,COC1=CC2=C(C=C1OC)[C@@H]1CC(N)[C@@H](C3=CC(C)=CC=C3C)CN1CC2,1.6
ABQQJUQDHRDZGR-UHFFFAOYSA-N,FC1=CC=C(C(OC2CC3CCC(C2)N3CCOCCN2CCOCC2)C2=CC=C(F)C=C2)C=C1,2.05
ABQVVHVLSBJBNE-AWEZNQCLSA-N,NC(=O)C[C@H]1COCC2=CC(F)=CC=C2N1C(=O)C1=CC=C2OCC(=O)NC2=C1,0.4
ABSKJGYIWZMOAF-UIJXRGEYSA-N,COC1=CC(C2=CC=C([C@@H]3CCC4=CC=C([C@H](C5CC5)[C@H](C)C(=O)O)C=C4O3)C(F)=C2)=CC=N1,2.51
ABTIIXYUQVIQQP-UHFFFAOYSA-N,O=C(NC1=CC=C(Br)C=C1)C1=CC([N+](=O)[O-])=CC=C1O,3.16
ABUCIAUEIGSSGO-BCHFMIIMSA-N,COC1=CC=CC=C1CNC(=O)CC1=CC=CC(C[C@@H](C)NC[C@H](O)C2=CC=C(O)C(NS(C)(=O)=O)=C2)=C1,1.2
ABVCZPJCOYQLBK-FQEVSTJZSA-N,O=C(O)CN1C(=O)[C@]2(CC(=O)N(CC3=CC(Cl)=CC=C3F)C2)C2=CC(Cl)=CC=C21,-0.4
ABVFVDOETADVTL-UHFFFAOYSA-N,O=C(CC1=NN(C2CC2)C(=O)C2=CC=CC=C12)NC1=CC=C(OC(F)(F)F)C(Cl)=C1,5.43
ABVGSFPPWPDZDN-UHFFFAOYSA-N,CN1CCN(C2=CC=C(C3=CC=C4OCCN(C5=NC6=C(S5)C(=O)NC(C)(C)C6)C4=C3)N=N2)CC1,1.75
ABVURXJHWPVUJF-UHFFFAOYSA-N,O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCOCCOCC4=CC=CC=C4)=C3C2=O)C(=O)N1,3.1
ABWKRBGWUUJBSM-UHFFFAOYSA-N,CC(C)(C)C1=CC=C2NC3=C(CCCC3)C(=O)C2=C1,2.8
ABXVUGZVUCYNCO-UHFFFAOYSA-N,NC1(C2=CC=C(C3=C(C4=CC=CC=C4)N4C=CC=CC4=N3)C=C2)CCC1,2.8
ABZIJZLLUATJMX-UHFFFAOYSA-N,CN(C)C(=O)CC1=NN(C2=CC=C(OCCCCF)C=C2)C(=O)C2=C1C1=CC=C(Cl)C=C1N2C,3.75
ABZUQTACHNXKQR-UHFFFAOYSA-N,NS(=O)(=O)C1=NN=C(N2C(=O)C3=CC=CN=C3C2=O)S1,0.315
ACAIBIBNIFXKCV-UHFFFAOYSA-N,CNC(=O)C1=NN(C)C2=CC=C(NC3=NC=CC(N4C=C(NCC5(N)CC5)C(C)=N4)=N3)C=C12,2.3
ACALVKSHYQWUFA-UHFFFAOYSA-N,C=CC(=O)N(C1=CC=C(F)C(Cl)=C1)C1=NC=NC2=CC(OC)=C(OCCCN3CCOCC3)C=C12,2.01
ACBKFGPDANWBLT-UHFFFAOYSA-N,COC1=CC=C(COC2=CC(=O)N(CC(=O)C3=CC=C(CN(C)C)C=C3C)N=C2)N=C1,1.4
ACCNXGNVRQLEEG-XLIONFOSSA-N,CCC[C@@H](NC(=O)C1=CC=CC2=C1NC(O)=C2)[C@@H](O)C1=CC=CC(Cl)=C1C,5.2
ACCULLWIBRVLMN-UHFFFAOYSA-N,O=C1NC(CCCN2CC=C(C3=CC=C(F)C=C3)CC2)=NC2=C(Cl)C=CC=C12,3.8
ACCUYEGVSRMAAF-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCC(CCCCN2CCC3=CC(S(C)(=O)=O)=CC=C32)CC1,4.1
ACCWNNFALZQFLO-JOCQHMNTSA-N,CN(C)[C@H]1CC[C@H](NC2=NC=NC3=C2C(C2CC2)=CN3)CC1,0.9
ACDRXLLSQSDDRX-UHFFFAOYSA-N,CCOC1=NC2=CC=C3OCCC3=C2N1CCNC(C)=O,1.27
ACEBSGOKBVMIBO-UHFFFAOYSA-N,CC(C)(O)C1=NN2N=CC=CC2=C1C1=CC=NC(NC2=CC=CC(C#N)=C2)=N1,2.8
ACEFOQMQINFMRW-DYCFVMESSA-N,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/C2=CC=C(Cl)S2)C1=O,1.47
ACEKXGRKUIQUIE-AOOOYVTPSA-N,CCS(=O)(=O)N[C@H]1C[C@@H](N(C)C2=NC=NC3=C2C=CN3)C1,1.4
ACFQPMMWHGOWAP-UHFFFAOYSA-N,O=C1NC2=C(O)C=CC(CCNCCNS(=O)(=O)CCOCCCC3=CC=CC=C3)=C2S1,2.22
ACGRFVXOVLNFOX-UHFFFAOYSA-N,O=C(NCC1=CC=CC=C1)C1=CC2=CN=CC=C2N1,2.2
ACGUYXCXAPNIKK-UHFFFAOYSA-N,OC1=C(Cl)C=C(Cl)C(Cl)=C1CC1=C(O)C(Cl)=CC(Cl)=C1Cl,5.54
