logD,caco2_atob_LogPapp,caco2_btoa_LogPapp,mppb_LogUnbound,hppb_LogUnbound
,,,,1.6334684555795864
5.02,,,,
1.2,,,,
1.4,,,,
2.3,,,,
1.7,,,,
2.3,,,,
2.2,,,,
2.35,,,,
2.32,,,,
3.62,,,,
2.5,,,,
0.8,,,,
3.8,,,,
,-5.356547323513812,,,
2.0,,,,
1.55,,,,
5.25,,,,
3.9,,,,
1.7,,,,
3.32,,,,
0.5,,,,
0.7,,,,0.08635983067474783
3.3,,,,
2.5,,,,
1.166,,,,
2.87,,,,
3.1,,,,
-0.05,,,,
3.0,,,,
2.9,,,,
2.7,,,,
,,,,1.460897842756548
,,,-0.39794000867203144,-0.39794000867203144
,,,0.6020599913279624,1.4313637641589874
0.1,,,,
,,,1.3979400086720377,1.1139433523068367
2.2,,,,
3.2,,,,
2.3,,,,
,,,,1.414973347970818
3.37,,,,
2.5,-4.795880017344075,,,
3.74,,,,
3.83,,,,
4.6,,,,
-2.0,,,,
2.6,,,,
1.9,,,,
4.35,,,,
-2.9,,,,
1.9,,,,
,,,,0.9294189257142927
2.78,,,,
2.1,,,,1.0038911662369108
0.8,,,,
-2.23,,,,
1.6,,,,0.6989700043360189
3.6,,,,
2.6,,,,0.7481880270062
3.2,,,,
,,,-0.3010299956639812,
,-5.167491087293763,-4.467245621007502,0.07918124604762586,
3.84,,,0.43136376415898775,
,,,,-0.7212463990471762
2.2,,,,
3.76,,,,
2.0,,,,
0.2,,,,
,,,,1.3617278360175928
2.8,,,,
4.6,,,,
2.2,,,,
-0.99,,,,
-2.24,,,,
2.93,,,,
0.17,,,,
2.63,,,,
2.39,,,,
3.14,,,,
0.73,,,,
3.1,-4.356547323513813,,,
3.4,,,,
2.39,,,,
2.7,,,,
2.7,,,,
3.0,,,,
2.1,-5.045757490560675,,,
,,,0.5314789170422558,0.6020599913279624
,,,,-0.3010299956639812
0.07,,,,
3.1,,,,
1.25,,,,
4.8,,,,
2.1,,,,
2.8,,,,
3.1,,,,
,,,,0.9675479762188621
0.32,,,,
1.5,,,,
2.16,,,,
0.24,,,,
-0.87,,,,
1.97,,,,
0.3,,,,
1.3,,,,
1.1,,,,
0.8,,,,
0.1,-5.494850021680094,,,
2.2,,,,
-0.43,,,,
4.6,,,,
2.5,,,,
,-4.494850021680094,-4.522878745280337,,
0.39,,,,
2.3,,,,
0.47,-5.119186407719209,-4.950781977329818,,
0.47,-5.0915149811213505,-4.910094888560602,,
-0.35,,,,
5.17,,,,
4.9,,,,
,,,,1.1139433523068367
-1.72,,,,
-1.66,,,,
1.8,,,,
1.5,,,,
3.4,,,,
1.6,,,,
4.1,-4.5718652059712115,,,
2.49,,,,
0.76,,,,
2.2,,,,1.6348801407665263
1.1,,,,
,-5.4089353929735005,-4.886056647693163,,1.0413926851582251
3.16,,,,
2.24,,,,
0.82,,,,
3.3,,,,
3.12,,,,
-0.1,,,,
,,,1.0,
4.15,-5.1095789811990855,-5.019088062223156,,
,,,1.075546961392531,
4.1,,,,
1.65,,,,
3.3,,,,
0.6,,,,
2.7,,,,
2.8,,,,0.9314578706890054
0.905,,,,
7.21,,,,
,-4.7447274948966935,,1.989894563718773,
3.3,,,,
1.99,,,,
-0.23,,,,
4.3,,,,
4.4,,,,
3.4,,,,
4.11,,,,
2.6,,,,
0.7,,,,
1.28,,,,
1.2,,,,
3.0,,,,
,,,,-1.3979400086719698
2.6,,,,
4.0,,,,
4.4,,,,
3.5,,,,
0.4,,,,
2.6,,,,-0.6020599913279624
,-4.921905849593589,-5.3448615651886175,,
1.8,,,,
3.4,,,,
,,,1.3010299956639813,1.2041199826559248
2.1,,,,
2.0,,,,
2.0,,,,
4.5,,,,
,-4.721246399047171,,,
3.3,,,,
1.95,,,,
1.8,,,,
2.14,,,,
2.21,,,,
2.3,,,,
1.8,,,,
3.4,,,,
0.9,,,,
3.4,,,,
,,,,1.8514112423949736
,-5.1487416512809245,,,
2.1,,,0.8573324964312686,-1.0000000000000246
,,,,0.6127838567197349
3.2,,,,
2.1,,,,
3.1,,,,
,,,,1.7708520116421442
1.5,,,,
,,,,-0.1549019599857414
,,,1.3010299956639813,
4.5,,,,
3.4050000000000002,,,,
3.2,,,,
2.12,,,,
1.0,-5.096910013008056,-4.096910013008056,,0.8450980400142568
4.1,,,,
1.78,,,,
1.9,,,,
,-5.1888943929820694,-4.8474059220725305,0.6720978579357177,0.5185139398778871
2.4,,,,
3.6,,,,
2.9,,,,
3.0,,,,
2.43,,,,0.35983548233988916
2.2,,,,
-2.61,,,,
2.8,,,,0.0
0.44,,,,
,-5.585026652029182,-5.823908740944319,,
,,,,-1.22184874961634
3.1,,,,0.7160033436347994
2.32,,,,
3.25,,,,-0.39254497678533024
-2.66,,,,
3.3,,,,
-1.41,,,,
-1.6,,,,
2.6,,,,1.4471580313422192
2.3,,,,
-0.5449999999999999,,,,
2.02,,,,
0.42,,,,
2.7,,,,
1.7,,,,
1.3,,,,
-0.43,,,,
1.68,,,,
2.1,,,,
3.3,,,,
,,,0.4623979978989569,0.5314789170422558
2.3,,,,
2.2,,,,
2.6,-6.0,,,
-2.57,,,,
,,,-0.5376020021010346,-0.8239087409443023
4.5,,,,
1.27,,,,
3.22,,,,
5.0,,,,
1.19,,,,
,,,,1.0413926851582251
1.3,,,,
0.3,,,,
3.0,,,,
2.0,,,,
4.69,,,,
2.0,,,,
2.1,,,,
3.3,,,,
1.5,-4.910094888560602,,,
3.8,,,,
0.74,,,,
1.37,,,,
,,,,0.8853612200315124
2.3,,,,-0.6989700043360126
1.4,,,,
2.5,,,,
,-5.468521082957745,,,
2.8,,,,
,,,,-0.09691001300805796
,,,,0.6127838567197349
,-5.508638306165727,,,
3.0,,,,
2.7,,,,
2.7,,,,
2.72,,,,
,-4.4089353929735005,,,
2.0,,,,
2.26,,,,
,,,,1.0791812460476249
2.12,,,,
0.0,,,,
0.0,,,,
,,,,1.9973863843973134
2.8,,,,
2.2,,,,
3.76,,,,
0.45,,,,
2.9,,,,
3.1,,,,
2.14,,,,
1.5,,,,
5.1,,,,
3.65,,,,
1.0,,,0.8129133566428556,
2.2,,,,
2.8,,,,
4.6,,,,
3.2,,,,
3.3,,,,
1.93,,,,
,,,,1.9885589568786155
2.6,,,,
-0.53,,,,
2.3,,,,
,-6.0,,,
2.6,,,,
3.6,,,,
2.1,,,,
1.6,,,,
0.3,,,,
1.7,-5.096910013008056,,,
1.8,,,,
1.3,,,,
,,,,1.9717395908877782
2.06,,,,
0.6,,,,
3.87,,,,
1.6,,,,
4.1,-5.597738617545319,-5.04215336629185,,
0.006,,,,
2.41,,,,
4.47,,,,
2.4,,,,
-0.1,,,,
1.6,,,,
3.15,,,,
2.2,,,,
0.1,,,,
4.5,,,,
,-4.85078088734462,-4.835647144215563,,
,,,,0.2718416065365
3.1,,,,
1.98,,,,
-0.4,,,,
,,,,1.1445742076096164
,,,1.254064452914338,1.2457593559672768
1.0308,-4.489906994453112,-4.37781036600894,0.8490097019911321,1.4690852991231205
,,,,1.3617278360175928
,,,,0.6020599913279624
1.4,,,,
0.21555555555555556,-5.899715632972193,-5.451815389454892,,1.9084850188786497
1.47,,,,
2.0,,,,
2.24,,,,0.5831987739686225
4.47,,,,
0.7,-5.468521082957745,,,
3.16,,,,
4.5,,,,
2.9,,,,
3.85,,,,
1.6,,,,
1.39,,,,
,,,1.146128035678238,
1.5,,,,
1.29,,,,
-2.23,,,,
3.6,,,,
2.75,,,,
2.84,,,,
2.77,,,,
0.43,,,,
3.0,,,,
2.1,,,,
-0.25,,,,
1.0,,,,
,-4.517126416391246,-4.489454989793388,,0.9590413923210933
0.9,,,,
0.085,,,,
2.9,,,,
2.6,,,,
4.15,,,,
2.9,,,,
2.9,,,,
0.21750000000000003,,,,
2.385,,,,
-0.2,,,,-0.3665315444204066
3.1,,,,0.8853612200315124
2.06,,,,
-1.0,,,,
2.9,,,,
,,,,0.7160033436347994
,-4.818156412055227,,,1.1986570869544226
1.4,,,,
2.41,,,,
2.9,,,,
,,,,1.0791812460476249
,-4.392544976785332,,0.152288344383057,
,,,,-0.2924298239020593
5.1,,,,
1.9,,,,
3.6,,,,
,-5.508638306165727,,,
4.4,,,,
1.7,,,,
4.57,,,,
0.08,,,,
4.4,,,,
0.79,,,,
0.8,,,,
2.0,,,,
3.0,,,,
2.6,,,,
,,,0.42813479402878996,0.17318626841227255
0.7,,,,
2.5,,,,
-1.7,,,,
1.2,,,,
2.8,,,,
3.3,-4.431798275933005,,,
,,,,1.9896722476238733
4.3,,,,
5.23,,,,
-0.9,,,,
3.1,,,,
2.31,,,,
-1.0033333333333334,,,,
2.3,-4.251811972993799,,,
2.9,,,,
3.4,,,,
2.1,,,,
,-6.769551078621726,-6.769551078621726,,
,,,,1.9943171526696368
3.4,,,,
2.9,,,,
,,,,1.3961993470957363
3.28,,,,
2.3,,,,
2.8,,,,
,,,0.6314437690131721,-0.022276394711150935
3.09,,,,
-1.99,,,,
2.3,,,,
,-6.142667503568732,-5.366531544420414,,
5.88,,,,
0.5,-5.075720713938118,,,
5.7,,,,
3.55,,,,
-3.735,,,,
2.4,,,,
1.5,,,,
4.3,,,,
3.6,,,,
,,,,-0.6989700043360126
2.0,,,,
,-5.958607314841775,,,
